"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2018","1,229.80","1,220.90","1,233.80","1,216.80","199.65K","0.81%"
"Nov 27, 2018","1,219.90","1,228.50","1,231.70","1,217.80","135.21K","-0.72%"
"Nov 26, 2018","1,228.70","1,230.40","1,234.50","1,228.00","142.17K","-0.03%"
"Nov 23, 2018","1,229.10","1,232.80","1,235.50","1,226.20","62.61K","0.09%"
"Nov 22, 2018","1,228.00","1,226.40","1,229.70","1,225.50","-","-0.47%"
"Nov 21, 2018","1,233.80","1,228.70","1,236.70","1,226.20","53.07K","0.55%"
"Nov 20, 2018","1,227.00","1,230.70","1,235.40","1,226.10","46.66K","-0.33%"
"Nov 19, 2018","1,231.10","1,229.00","1,232.20","1,224.50","34.54K","0.17%"
"Nov 16, 2018","1,229.00","1,220.30","1,232.10","1,220.30","30.63K","0.65%"
"Nov 15, 2018","1,221.10","1,217.70","1,222.80","1,213.30","16.27K","0.42%"
"Nov 14, 2018","1,216.00","1,209.70","1,223.20","1,204.00","23.06K","0.72%"
"Nov 13, 2018","1,207.30","1,207.70","1,211.30","1,202.40","35.58K","0.32%"
"Nov 12, 2018","1,203.50","1,210.30","1,212.00","1,200.60","203.64K","-0.42%"
"Nov 09, 2018","1,208.60","1,224.30","1,224.60","1,207.20","322.35K","-1.35%"
"Nov 08, 2018","1,225.10","1,227.70","1,228.50","1,220.80","239.02K","-0.29%"
"Nov 07, 2018","1,228.70","1,228.90","1,238.40","1,224.20","259.29K","0.20%"
"Nov 06, 2018","1,226.30","1,233.40","1,237.80","1,224.90","199.67K","-0.49%"
"Nov 05, 2018","1,232.30","1,234.50","1,236.80","1,228.40","159.43K","-0.08%"
"Nov 02, 2018","1,233.30","1,235.30","1,238.40","1,231.30","256.02K","-0.43%"
"Nov 01, 2018","1,238.60","1,216.60","1,239.30","1,216.10","313.45K","1.94%"
"Oct 31, 2018","1,215.00","1,224.70","1,225.00","1,213.40","247.06K","-0.84%"
"Oct 30, 2018","1,225.30","1,231.90","1,232.50","1,221.40","224.64K","-0.19%"
"Oct 29, 2018","1,227.60","1,236.40","1,237.60","1,226.10","234.29K","-0.66%"
"Oct 26, 2018","1,235.80","1,234.70","1,246.00","1,232.50","315.69K","0.28%"
"Oct 25, 2018","1,232.40","1,236.60","1,242.00","1,230.50","259.68K","0.11%"
"Oct 24, 2018","1,231.10","1,233.80","1,238.00","1,228.30","211.48K","-0.46%"
"Oct 23, 2018","1,236.80","1,225.10","1,243.00","1,224.50","288.38K","1.00%"
"Oct 22, 2018","1,224.60","1,230.50","1,232.60","1,222.80","187.23K","-0.33%"
"Oct 19, 2018","1,228.70","1,228.60","1,234.10","1,226.20","191.80K","-0.11%"
"Oct 18, 2018","1,230.10","1,225.50","1,233.60","1,221.70","243.11K","0.22%"
"Oct 17, 2018","1,227.40","1,228.00","1,232.90","1,223.70","235.33K","-0.29%"
