"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 13, 2018","16.628","16.628","16.628","16.628","-","1.13%"
"Apr 12, 2018","16.443","16.615","16.615","16.600","0.00K","-1.76%"
"Apr 11, 2018","16.738","16.738","16.738","16.738","-","1.04%"
"Apr 10, 2018","16.566","16.410","16.565","16.410","0.01K","0.41%"
"Apr 09, 2018","16.499","16.345","16.490","16.345","0.04K","0.70%"
"Apr 08, 2018","16.385","16.390","16.405","16.375","-","0.32%"
"Apr 06, 2018","16.332","16.300","16.320","16.285","0.00K","0.07%"
"Apr 05, 2018","16.320","16.200","16.305","16.190","0.01K","0.68%"
"Apr 04, 2018","16.209","16.435","16.445","16.435","0.04K","-0.84%"
"Apr 03, 2018","16.347","16.347","16.347","16.347","-","-1.68%"
"Apr 02, 2018","16.627","16.470","16.580","16.470","0.01K","1.54%"
"Apr 01, 2018","16.375","16.335","16.395","16.325","-","0.94%"
"Mar 29, 2018","16.223","16.250","16.250","16.210","0.04K","0.11%"
"Mar 28, 2018","16.205","16.450","16.450","16.195","0.08K","-1.72%"
"Mar 27, 2018","16.489","16.505","16.505","16.505","0.00K","-0.86%"
"Mar 26, 2018","16.632","16.700","16.725","16.615","0.04K","0.10%"
"Mar 25, 2018","16.615","16.560","16.655","16.560","-","0.51%"
"Mar 23, 2018","16.530","16.450","16.550","16.450","0.06K","1.24%"
"Mar 22, 2018","16.328","16.490","16.505","16.490","0.00K","-0.18%"
"Mar 21, 2018","16.357","16.385","16.530","16.385","0.08K","1.44%"
"Mar 20, 2018","16.125","16.215","16.215","16.050","0.11K","-0.80%"
"Mar 19, 2018","16.255","16.165","16.260","16.165","0.14K","-0.28%"
"Mar 18, 2018","16.300","16.315","16.335","16.280","-","0.60%"
"Mar 16, 2018","16.202","16.335","16.405","16.185","0.03K","-0.92%"
"Mar 15, 2018","16.353","16.485","16.485","16.305","0.03K","-0.69%"
"Mar 14, 2018","16.467","16.535","16.535","16.500","0.00K","-0.56%"
"Mar 13, 2018","16.559","16.495","16.560","16.460","0.02K","0.53%"
"Mar 12, 2018","16.471","16.565","16.565","16.390","0.05K","-0.90%"
"Mar 11, 2018","16.620","16.590","16.635","16.590","-","0.45%"
"Mar 09, 2018","16.546","16.330","16.615","16.305","0.36K","0.67%"
"Mar 08, 2018","16.436","16.440","16.465","16.375","0.07K","0.05%"
